MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54326.016203571795	1.0973301846999809e-14	5.788111122430908e-16	2.7209941048075752e-15	3.0314825752898906e-17	5.082305275028388e-15	1.0891681460809946e-16	nan	nan	7.792700743508462e-15	1.8867618348941902e-16	nan	nan	nan	nan
54326.0662035718	1.11239794057385e-14	5.743241683267647e-16	2.7572144076919418e-15	3.0107413645234404e-17	5.154850790101395e-15	1.0811199661434192e-16	nan	nan	7.899350828857138e-15	1.8820924201689487e-16	nan	nan	nan	nan
54326.1162035718	1.1275408721796916e-14	5.696997164358268e-16	2.7936130175262374e-15	2.99050232284465e-17	5.2277993847029556e-15	1.0730820947977896e-16	nan	nan	8.006605408331857e-15	1.8769266572386543e-16	nan	nan	nan	nan
54326.1662035718	1.1427576883135666e-14	5.649327456705699e-16	2.8301887198128315e-15	2.9707031490934044e-17	5.301151598566588e-15	1.0650584897402798e-16	nan	nan	8.114464279162953e-15	1.8712704490784708e-16	nan	nan	nan	nan
54326.21620357181	1.1580471023412522e-14	5.60022026873227e-16	2.8669403004443696e-15	2.9513019737176e-17	5.374907972102292e-15	1.0570546625073493e-16	nan	nan	8.222927239715753e-15	1.8651310529498882e-16	nan	nan	nan	nan
54326.26620357181	1.1734078320312437e-14	5.54970136002783e-16	2.903866545701853e-15	2.932280146223033e-17	5.449069046404387e-15	1.0490777388829669e-16	nan	nan	8.33199408946154e-15	1.8585171153953763e-16	nan	nan	nan	nan
54326.31620357181	1.1888385993887924e-14	5.497834100173641e-16	2.9409662422467844e-15	2.9136446794566204e-17	5.523635363243674e-15	1.041136510226647e-16	nan	nan	8.441664628899088e-15	1.851438706129269e-16	nan	nan	nan	nan
54326.366203571815	1.2043381304890128e-14	5.444718300200437e-16	2.9782381771291963e-15	2.8954303365735206e-17	5.598607465109224e-15	1.0332414752621153e-16	nan	nan	8.551938659689159e-15	1.843907350958451e-16	nan	nan	nan	nan
54326.41620357182	1.2199051553116269e-14	5.39048824604918e-16	3.0156811377726425e-15	2.877701330178148e-17	5.673985895150923e-15	1.025404871330662e-16	nan	nan	8.662815984528245e-15	1.835936062492666e-16	nan	nan	nan	nan
54326.46620357182	1.2355381281192795e-14	5.335241408965268e-16	3.0532939119810014e-15	2.8605526049603e-17	5.7497711972055834e-15	1.0176406933409979e-16	nan	nan	8.774296403754318e-15	1.8275393319881314e-16	nan	nan	nan	nan
54326.516203571824	1.2512343339284588e-14	5.278817971765295e-16	3.0910752879267858e-15	2.8441106506688397e-17	5.8259639158073966e-15	1.0099647000259996e-16	nan	nan	8.886379529084515e-15	1.8187311169292799e-16	nan	nan	nan	nan
